title,context,desired_output,oc
Thirty Years' War,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.",The 1618 to 1648 Thirty Years' War was fought primarily in modern Germany and Central Europe.,True
Dutch Revolt,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","The Dutch Revolt was the revolt in the Low Countries against the rule of the Habsburg King Philip II of Spain, hereditary ruler of the provinces.",True
Spanish Empire,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","The Spanish Empire , historically known as the Hispanic Monarchy and as the Catholic Monarchy , was a colonial empire governed by Spain that existed from 1492 to 1976.",True
Holy Roman Empire,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","The Holy Roman Empire, historiographically denoted as the Holy Roman Empire of the German Nation , was a multi-ethnic complex of territories in Western and Central Europe that developed during the Early Middle Ages and continued until its dissolution in 1806 during the Napoleonic Wars.",True
Imperial Diet (Holy Roman Empire),"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.",The Imperial Diet was the deliberative body of the Holy Roman Empire.,True
Elbe,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.",The Elbe is one of the major rivers of Central Europe.,True
"Ferdinand III, Holy Roman Emperor","His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","Ferdinand III was from 1621 Archduke of Austria, King of Hungary from 1625, King of Croatia and Bohemia from 1627 and Holy Roman Emperor from 1637 until his death in 1657.",True
Alsace,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","Alsace is a cultural region and a territorial collectivity in Eastern France, on the west bank of the upper Rhine next to Germany and Switzerland.",True
Metz,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.",Metz is a city in northeast France located at the confluence of the Moselle and the Seille rivers.,True
Verdun,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.",Verdun is a small city in the Meuse department in Grand Est in northeastern France.,True
Toul,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.",Toul is a commune in the Meurthe-et-Moselle department in north-eastern France.,True
Cardinal Richelieu,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","Armand Jean du Plessis, Duke of Richelieu , commonly referred to as Cardinal Richelieu , was a French clergyman and statesman.",True
Battle of Lens,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","The Battle of Lens was a French victory under Louis II de Bourbon, Prince de Condé against the Spanish army under Archduke Leopold Wilhelm in the Thirty Years' War .",True
Peace of Westphalia,"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.",The Peace of Westphalia is the collective name for two peace treaties signed in October 1648 in the Westphalian cities of Osnabrück and Münster.,True
François de La Rochefoucauld (writer),"His reign of 72 years and 110 days is the longest recorded of any monarch of a sovereign country in European history. Louis XIV's France was emblematic of the age of absolutism in Europe. The King surrounded himself with a variety of significant political, military, and cultural figures, such as Mazarin, Colbert, Louvois, the Grand Condé, Turenne, Vauban, Boulle, Molière, Racine, Boileau, La Fontaine, Lully, Charpentier, Marais, Le Brun, Rigaud, Bossuet, Le Vau, Mansart, Charles Perrault, Claude Perrault, and Le Nôtre. Louis began his personal rule of France in 1661, after the death of his chief minister, the Cardinal Mazarin. An adherent of the concept of the divine right of kings, Louis continued his predecessors' work of creating a centralised state governed from the capital. He sought to eliminate the remnants of feudalism persisting in parts of France and, by compelling many members of the nobility to inhabit his lavish Palace of Versailles, succeeded in pacifying the aristocracy, many members of which had participated in the Fronde rebellion during his minority. By these means he became one of the most powerful French monarchs and consolidated a system of absolute monarchy in France that endured until the French Revolution. He also enforced uniformity of religion under the Gallican Catholic Church. His revocation of the Edict of Nantes abolished the rights of the Huguenot Protestant minority and subjected them to a wave of dragonnades, effectively forcing Huguenots to emigrate or convert, and virtually destroying the French Protestant community. During Louis's long reign, France emerged as the leading European power and regularly asserted its military strength. A conflict with Spain marked his entire childhood, while during his reign, the kingdom took part in three major continental conflicts, each against powerful foreign alliances: the Franco-Dutch War, the War of the League of Augsburg, and the War of the Spanish Succession. In addition, France also contested shorter wars, such as the War of Devolution and the War of the Reunions. Warfare defined Louis's foreign policy and his personality shaped his approach. Impelled by ""a mix of commerce, revenge, and pique"", he sensed that war was the ideal way to enhance his glory. In peacetime he concentrated on preparing for the next war. He taught his diplomats that their job was to create tactical and strategic advantages for the French military.","François VI, Duc de La Rochefoucauld, Prince de Marcillac was a noted French moralist and author of maxims and memoirs.",True
